atletas.atleta_id,atletas.clube.id.full.name,atletas.pontos_num,atletas.preco_num,atletas.posicao_id,A,CA,CV,DD,DP,FC,FD,FF,FS,FT,G,GC,GS,I,PE,PP,RB,SG
37655,Goiás,0.0,0.0,ata,0.0,3,1,0.0,0.0,36,3,15,20,0.0,3,0.0,0.0,4,21,0.0,6,0.0
50328,Grêmio,0.0,0.0,zag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37646,Avaí,0.0,0.0,zag,0.0,6,1,0.0,0.0,20,1,3,28,0.0,0.0,0.0,0.0,0.0,50,0.0,32,6
37673,CSA,0.0,0.0,ata,0.0,1,0.0,0.0,0.0,20,6,11,11,0.0,2,0.0,0.0,7,19,1,7,0.0
50407,Vasco,0.0,0.0,mei,0.0,0.0,0.0,0.0,0.0,10,2,1,3,0.0,0.0,0.0,0.0,1,7,0.0,6,0.0
37688,Botafogo,0.0,0.0,mei,1,8,0.0,0.0,0.0,23,9,10,55,0.0,3,0.0,0.0,4,40,0.0,31,0.0
37662,Atlético-PR,0.0,0.0,lat,0.0,2,0.0,0.0,0.0,4,1,0.0,3,0.0,1,0.0,0.0,0.0,7,0.0,6,2
37656,Cruzeiro,0.0,0.0,gol,0.0,2,0.0,36,2,0.0,0.0,0.0,5,0.0,0.0,0.0,30,0.0,11,0.0,0.0,12
37281,Palmeiras,0.0,0.0,tec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37614,Santos,0.0,0.0,mei,2,0.0,1,0.0,0.0,25,2,3,20,0.0,0.0,0.0,0.0,2,21,0.0,13,0.0
37246,Goiás,0.0,0.0,tec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50324,São Paulo,0.0,0.0,mei,1,3,0.0,0.0,0.0,25,4,1,10,0.0,1,0.0,0.0,1,18,0.0,22,0.0
37694,Cruzeiro,0.0,0.0,mei,0.0,5,0.0,0.0,0.0,43,3,14,55,0.0,0.0,0.0,0.0,1,43,0.0,59,0.0
37788,Fortaleza,0.0,0.0,gol,0.0,1,0.0,15,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,10,0.0,3,0.0,0.0,2
37701,Grêmio,0.0,0.0,lat,1,1,0.0,0.0,0.0,7,0.0,2,14,0.0,0.0,0.0,0.0,1,39,0.0,12,5
38162,Cruzeiro,0.0,0.0,ata,3,10,0.0,0.0,0.0,45,13,15,38,1,5,0.0,0.0,14,53,0.0,5,0.0
38144,Flamengo,0.0,0.0,lat,4,6,0.0,0.0,0.0,25,3,1,15,0.0,0.0,0.0,0.0,1,30,0.0,20,9
38140,Palmeiras,0.0,0.0,gol,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1
38001,Bahia,0.0,0.0,gol,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0
38229,Atlético-MG,0.0,0.0,lat,1,5,0.0,0.0,0.0,28,3,3,19,2,3,0.0,0.0,2,45,0.0,17,6
38277,Cruzeiro,0.0,0.0,mei,4,8,0.0,0.0,0.0,22,20,35,29,1,6,0.0,0.0,2,61,0.0,15,0.0
37798,Internacional,0.0,0.0,ata,3,5,0.0,0.0,0.0,14,16,16,10,0.0,2,0.0,0.0,0.0,22,0.0,10,0.0
38279,Fortaleza,0.0,0.0,ata,3,7,0.0,0.0,0.0,47,16,18,36,2,13,0.0,0.0,11,39,0.0,10,0.0
38231,Grêmio,0.0,0.0,ata,1,1,0.0,0.0,0.0,23,15,7,21,0.0,4,0.0,0.0,6,57,1,15,0.0
38196,Grêmio,0.0,0.0,mei,2,6,0.0,0.0,0.0,15,2,4,9,0.0,3,0.0,0.0,0.0,34,0.0,15,0.0
38315,Corinthians,0.0,0.0,mei,1,3,0.0,0.0,0.0,6,1,6,3,0.0,0.0,0.0,0.0,0.0,21,0.0,1,0.0
38336,Atlético-PR,0.0,0.0,lat,1,3,0.0,0.0,0.0,9,0.0,1,3,0.0,1,0.0,0.0,0.0,18,0.0,8,2
38505,Vasco,0.0,0.0,zag,1,9,1,0.0,0.0,16,2,4,15,0.0,2,0.0,0.0,2,23,0.0,20,6
38431,Botafogo,0.0,0.0,gol,0.0,0.0,0.0,23,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,1,0.0,0.0,0.0
38394,Atlético-PR,0.0,0.0,zag,0.0,6,0.0,0.0,0.0,17,6,3,13,0.0,0.0,0.0,0.0,0.0,18,0.0,9,4
38509,Flamengo,0.0,0.0,gol,0.0,0.0,0.0,37,2,0.0,0.0,0.0,4,0.0,0.0,0.0,20,0.0,16,0.0,2,13
