Year,Round,Home,Away,HG,AG
2014,1,Fluminense,Figueirense,3,0
2014,1,Internacional,Vitória,1,0
2014,1,Chapecoense,Coritiba,0,0
2014,1,São Paulo,Botafogo,3,0
2014,1,Atlético-PR,Grêmio,1,0
2014,1,Atlético-MG,Corinthians,0,0
2014,1,Bahia,Cruzeiro,1,2
2014,1,Santos,Sport,1,1
2014,1,Flamengo,Goiás,0,0
2014,1,Criciúma,Palmeira,1,2
2014,2,Coritiba,Santos,0,0
2014,2,Palmeira,Fluminense,0,1
2014,2,Corinthians,Flamengo,2,0
2014,2,Botafogo,Internacional,2,2
2014,2,Cruzeiro,São Paulo,1,1
2014,2,Vitória,Atlético-PR,2,2
2014,2,Grêmio,Atlético-MG,2,1
2014,2,Figueirense,Bahia,0,2
2014,2,Goiás,Criciúma,1,0
2014,2,Sport,Chapecoense,2,1
2014,3,São Paulo,Coritiba,2,2
2014,3,Santos,Grêmio,0,0
2014,3,Atlético-PR,Cruzeiro,2,3
2014,3,Fluminense,Vitória,1,2
2014,3,Flamengo,Palmeira,4,2
2014,3,Bahia,Botafogo,1,0
2014,3,Internacional,Sport,2,1
2014,3,Criciúma,Figueirense,1,0
2014,3,Chapecoense,Corinthians,0,1
2014,3,Atlético-MG,Goiás,0,1
2014,4,Palmeira,Goiás,2,0
2014,4,Internacional,Atlético-PR,2,1
2014,4,Botafogo,Criciúma,6,0
2014,4,Fluminense,Flamengo,2,0
2014,4,São Paulo,Corinthians,1,1
2014,4,Atlético-MG,Cruzeiro,2,1
2014,4,Chapecoense,Grêmio,1,2
2014,4,Bahia,Vitória,1,1
2014,4,Figueirense,Santos,0,2
2014,4,Coritiba,Sport,0,1
2014,5,Goiás,Botafogo,2,0
2014,5,Cruzeiro,Coritiba,3,2
2014,5,Grêmio,Fluminense,1,0
2014,5,Flamengo,São Paulo,0,2
2014,5,Corinthians,Figueirense,0,1
2014,5,Atlético-PR,Chapecoense,1,1
2014,5,Santos,Atlético-MG,1,2
2014,5,Criciúma,Internacional,0,0
2014,5,Vitória,Palmeira,0,1
2014,5,Sport,Bahia,1,0
2014,6,Flamengo,Bahia,1,1
2014,6,Coritiba,Internacional,1,1
2014,6,Cruzeiro,Sport,2,0
2014,6,Criciúma,Chapecoense,1,0
2014,6,Fluminense,São Paulo,5,2
2014,6,Corinthians,Atlético-PR,1,1
2014,6,Grêmio,Botafogo,2,1
2014,6,Palmeira,Figueirense,1,0
2014,6,Goiás,Santos,2,2
2014,6,Vitória,Atlético-MG,2,3
2014,7,Bahia,Fluminense,0,1
2014,7,São Paulo,Grêmio,1,0
2014,7,Santos,Flamengo,0,0
2014,7,Atlético-PR,Coritiba,2,0
2014,7,Sport,Corinthians,1,4
2014,7,Figueirense,Goiás,0,1
2014,7,Chapecoense,Palmeira,2,0
2014,7,Botafogo,Vitória,1,1
2014,7,Internacional,Cruzeiro,1,3
2014,7,Atlético-MG,Criciúma,0,0
2014,8,Palmeira,Botafogo,0,2
2014,8,Sport,Grêmio,0,0
2014,8,Criciúma,Coritiba,1,0
2014,8,Goiás,Vitória,0,0
2014,8,Internacional,Chapecoense,2,0
2014,8,Corinthians,Cruzeiro,1,0
2014,8,Atlético-PR,São Paulo,2,2
2014,8,Atlético-MG,Fluminense,2,0
2014,8,Flamengo,Figueirense,1,1
2014,8,Bahia,Santos,0,2
2014,9,São Paulo,Atlético-MG,2,1
2014,9,Coritiba,Goiás,3,0
2014,9,Vitória,Sport,0,1
2014,9,Grêmio,Palmeira,0,0
2014,9,Cruzeiro,Flamengo,3,0
2014,9,Chapecoense,Bahia,2,1
2014,9,Figueirense,Atlético-PR,1,3
2014,9,Santos,Criciúma,2,0
