PlayerID,Year,Round,Team,A,CA,CV,DD,DP,FC,FD,FF,FS,FT,G,GC,GS,I,PE,PP,RB,SG,PNT,pos,price,proGoals,consGoals,advPG,advCG,teamPos,advPos,home,realScore
83004,2017,4,Atlético-MG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,mei,7.51,0.00,10.00,0.00,10.00,17,13,0,2.9
83004,2017,6,Atlético-MG,0.00,0.00,0.00,0.00,0.00,1.17,0.00,1.17,2.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.17,0.00,3.39,mei,7.22,0.00,0.00,10.00,10.00,16,18,0,2.5
83004,2017,7,Atlético-MG,0.00,0.00,0.00,0.00,0.00,0.96,0.00,2.38,4.76,0.00,0.00,0.00,0.00,0.00,4.26,0.00,2.38,0.00,6.33,mei,7.57,0.00,10.00,5.00,10.00,17,20,1,3.9
83004,2017,9,Atlético-MG,0.00,0.00,0.00,0.00,0.00,0.66,1.17,2.79,4.41,0.00,0.00,0.00,0.00,0.00,2.88,0.00,2.79,0.00,8.88,mei,7.2,10.00,5.00,10.00,15.00,16,17,1,1.9
83004,2017,10,Atlético-MG,0.00,0.00,0.00,0.00,0.00,1.42,0.96,1.75,5.38,0.00,0.00,0.00,0.00,0.00,3.79,0.00,3.17,0.00,8.42,mei,6.65,5.00,10.00,0.00,25.00,14,13,0,-0.8
83004,2017,16,Atlético-MG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,mei,6.48,5.00,10.00,10.00,5.00,13,8,1,1.3
83004,2017,18,Atlético-MG,0.00,1.17,0.00,0.00,0.00,2.34,0.00,2.34,3.51,0.00,0.00,0.00,0.00,0.00,1.17,0.00,1.17,0.00,1.52,mei,5.98,0.00,0.00,10.00,5.00,11,1,1,-1.1
83004,2017,19,Atlético-MG,0.00,2.38,0.00,0.00,0.00,4.76,0.00,3.34,7.14,0.00,0.00,0.00,0.00,0.00,2.38,0.00,0.96,0.00,-0.31,mei,6.3,0.00,10.00,10.00,0.00,15,2,0,1.6
83004,2017,20,Atlético-MG,0.00,1.96,0.00,0.00,0.00,8.18,0.00,2.75,11.56,0.00,0.00,0.00,0.00,0.00,4.80,0.00,2.21,0.00,2.01,mei,6.74,10.00,10.00,0.00,10.00,11,7,1,3.8
83004,2017,22,Atlético-MG,0.00,0.79,0.00,0.00,0.00,4.46,1.17,3.13,6.21,0.00,0.00,0.00,0.00,0.00,3.88,0.00,2.13,0.00,5.11,mei,7.09,10.00,10.00,5.00,5.00,10,13,0,5.5
