ID,A,CA,CV,DD,DP,FC,FD,FF,FS,FT,G,GC,GS,I,PE,PP,RB,SG
101717,3.0,6.0,1.0,0.0,0.0,52.0,13.0,25.0,58.0,1.0,3.0,0.0,0.0,5.0,39.0,0.0,38.0,0.0
101798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37646,0.0,6.0,1.0,0.0,0.0,20.0,1.0,3.0,28.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,32.0,6.0
101803,0.0,2.0,0.0,0.0,0.0,11.0,0.0,4.0,9.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,8.0,4.0
37614,5.0,2.0,1.0,0.0,0.0,32.0,4.0,5.0,31.0,0.0,1.0,0.0,0.0,2.0,23.0,0.0,19.0,0.0
101728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101720,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
101729,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37798,3.0,7.0,0.0,0.0,0.0,14.0,17.0,17.0,11.0,0.0,2.0,0.0,0.0,0.0,23.0,0.0,10.0,0.0
37788,0.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0
38001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37701,1.0,1.0,0.0,0.0,0.0,8.0,0.0,2.0,14.0,0.0,0.0,0.0,0.0,1.0,41.0,0.0,15.0,6.0
101846,1.0,1.0,0.0,0.0,0.0,14.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,10.0,4.0
38162,3.0,11.0,0.0,0.0,0.0,48.0,15.0,16.0,41.0,1.0,5.0,0.0,0.0,14.0,57.0,0.0,5.0,0.0
38144,5.0,7.0,0.0,0.0,0.0,27.0,3.0,1.0,16.0,0.0,0.0,0.0,0.0,1.0,33.0,0.0,22.0,9.0
38229,1.0,6.0,0.0,0.0,0.0,30.0,4.0,3.0,21.0,2.0,4.0,0.0,0.0,2.0,46.0,0.0,21.0,6.0
38140,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
38231,1.0,2.0,1.0,0.0,0.0,25.0,16.0,7.0,25.0,0.0,4.0,0.0,0.0,6.0,61.0,1.0,17.0,0.0
38196,3.0,6.0,0.0,0.0,0.0,17.0,3.0,4.0,13.0,0.0,3.0,0.0,0.0,0.0,41.0,0.0,16.0,0.0
38279,3.0,7.0,0.0,0.0,0.0,53.0,16.0,22.0,42.0,2.0,13.0,0.0,0.0,13.0,40.0,0.0,14.0,0.0
38277,5.0,8.0,0.0,0.0,0.0,22.0,24.0,36.0,32.0,1.0,6.0,0.0,0.0,2.0,66.0,1.0,16.0,0.0
38311,0.0,4.0,1.0,0.0,0.0,34.0,5.0,8.0,49.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,64.0,0.0
101861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38315,1.0,3.0,0.0,0.0,0.0,6.0,1.0,8.0,3.0,1.0,0.0,0.0,0.0,0.0,23.0,0.0,1.0,0.0
37655,0.0,4.0,1.0,0.0,0.0,51.0,4.0,19.0,26.0,0.0,7.0,0.0,0.0,6.0,28.0,0.0,8.0,0.0
38336,1.0,3.0,0.0,0.0,0.0,11.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,20.0,0.0,9.0,4.0
38394,0.0,6.0,0.0,0.0,0.0,22.0,6.0,5.0,15.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,15.0,6.0
38431,0.0,0.0,0.0,23.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
38451,0.0,2.0,0.0,0.0,0.0,22.0,6.0,11.0,24.0,0.0,2.0,1.0,0.0,2.0,59.0,0.0,41.0,8.0
101719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38509,0.0,0.0,0.0,38.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,2.0,13.0
38573,0.0,3.0,0.0,0.0,0.0,11.0,1.0,4.0,9.0,0.0,1.0,0.0,0.0,0.0,14.0,0.0,13.0,0.0
38505,1.0,9.0,1.0,0.0,0.0,17.0,3.0,4.0,20.0,0.0,2.0,0.0,0.0,2.0,24.0,0.0,24.0,7.0
38523,0.0,3.0,2.0,0.0,0.0,18.0,0.0,5.0,11.0,2.0,0.0,0.0,0.0,0.0,27.0,0.0,18.0,4.0
38545,1.0,7.0,1.0,0.0,0.0,34.0,4.0,15.0,26.0,0.0,3.0,0.0,0.0,1.0,41.0,0.0,27.0,0.0
38515,0.0,2.0,0.0,0.0,0.0,20.0,0.0,9.0,10.0,1.0,0.0,0.0,0.0,1.0,26.0,0.0,22.0,2.0
42222,5.0,3.0,1.0,0.0,0.0,26.0,8.0,18.0,20.0,3.0,6.0,0.0,0.0,1.0,39.0,0.0,14.0,0.0
38632,0.0,1.0,0.0,0.0,0.0,7.0,4.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,6.0,0.0,11.0,0.0
38910,2.0,0.0,0.0,0.0,0.0,15.0,9.0,14.0,17.0,1.0,2.0,0.0,0.0,2.0,11.0,1.0,6.0,0.0
50407,0.0,0.0,0.0,0.0,0.0,10.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,6.0,0.0
38738,1.0,1.0,0.0,0.0,0.0,3.0,1.0,6.0,8.0,0.0,0.0,0.0,0.0,2.0,34.0,0.0,2.0,0.0
38939,3.0,4.0,0.0,0.0,0.0,46.0,6.0,13.0,42.0,1.0,2.0,0.0,0.0,5.0,70.0,0.0,34.0,6.0
38909,1.0,5.0,0.0,0.0,0.0,16.0,10.0,10.0,29.0,2.0,1.0,0.0,0.0,0.0,35.0,1.0,9.0,0.0
39572,0.0,2.0,0.0,0.0,0.0,8.0,5.0,8.0,33.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,12.0,0.0
38750,0.0,0.0,0.0,0.0,0.0,25.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,42.0,6.0
38959,0.0,4.0,0.0,0.0,0.0,30.0,5.0,11.0,36.0,0.0,5.0,0.0,0.0,9.0,33.0,0.0,14.0,0.0
38913,2.0,2.0,1.0,0.0,0.0,23.0,5.0,20.0,38.0,0.0,3.0,0.0,0.0,2.0,77.0,0.0,16.0,0.0
78435,3.0,3.0,0.0,0.0,0.0,30.0,12.0,23.0,19.0,0.0,5.0,0.0,0.0,3.0,36.0,0.0,19.0,0.0
42116,1.0,3.0,1.0,0.0,0.0,14.0,7.0,6.0,18.0,2.0,4.0,0.0,0.0,5.0,27.0,0.0,6.0,0.0
39850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37657,0.0,1.0,0.0,0.0,0.0,4.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,2.0
37656,0.0,2.0,0.0,42.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,12.0
68821,3.0,0.0,1.0,0.0,0.0,14.0,4.0,2.0,8.0,0.0,2.0,0.0,0.0,1.0,30.0,0.0,17.0,7.0
68817,0.0,2.0,0.0,0.0,0.0,14.0,1.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,14.0,0.0,11.0,4.0
42145,1.0,2.0,1.0,0.0,0.0,36.0,8.0,8.0,23.0,0.0,0.0,0.0,0.0,1.0,73.0,0.0,41.0,8.0
37694,0.0,5.0,0.0,0.0,0.0,47.0,4.0,16.0,68.0,0.0,0.0,0.0,0.0,1.0,54.0,0.0,69.0,0.0
37662,0.0,2.0,0.0,0.0,0.0,5.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,6.0,4.0
49651,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,4.0,4.0
68834,1.0,0.0,0.0,0.0,0.0,14.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,17.0,0.0
37673,0.0,1.0,0.0,0.0,0.0,20.0,6.0,11.0,11.0,0.0,2.0,0.0,0.0,7.0,19.0,1.0,7.0,0.0
37688,1.0,9.0,0.0,0.0,0.0,28.0,9.0,11.0,58.0,0.0,3.0,0.0,0.0,4.0,52.0,0.0,36.0,0.0
42232,0.0,3.0,0.0,0.0,0.0,19.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,14.0,0.0
68873,0.0,1.0,0.0,38.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,12.0
68872,0.0,1.0,1.0,47.0,1.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,11.0
42234,0.0,6.0,0.0,32.0,1.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,13.0
68896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42477,0.0,2.0,0.0,0.0,0.0,19.0,2.0,2.0,9.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,9.0,6.0
68886,0.0,3.0,2.0,0.0,0.0,27.0,1.0,4.0,14.0,0.0,1.0,0.0,0.0,1.0,20.0,0.0,32.0,9.0
42491,3.0,7.0,0.0,0.0,0.0,38.0,1.0,5.0,24.0,0.0,1.0,0.0,0.0,3.0,58.0,0.0,22.0,12.0
69010,0.0,1.0,1.0,18.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0
68887,0.0,1.0,2.0,0.0,0.0,11.0,7.0,7.0,14.0,0.0,1.0,1.0,0.0,2.0,45.0,0.0,13.0,4.0
49673,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
69012,0.0,1.0,0.0,36.0,2.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,1.0,12.0
68895,1.0,1.0,0.0,0.0,0.0,5.0,6.0,10.0,26.0,0.0,1.0,0.0,0.0,1.0,28.0,0.0,9.0,0.0
68911,1.0,6.0,0.0,0.0,0.0,34.0,11.0,14.0,57.0,2.0,7.0,0.0,0.0,11.0,58.0,0.0,10.0,0.0
49675,0.0,2.0,0.0,0.0,0.0,19.0,13.0,20.0,29.0,0.0,5.0,0.0,0.0,13.0,37.0,0.0,14.0,0.0
68901,3.0,6.0,0.0,0.0,0.0,28.0,6.0,9.0,6.0,0.0,0.0,0.0,0.0,3.0,40.0,0.0,13.0,0.0
69022,2.0,1.0,0.0,0.0,0.0,22.0,8.0,19.0,28.0,1.0,9.0,0.0,0.0,7.0,40.0,1.0,17.0,0.0
69014,0.0,2.0,0.0,0.0,0.0,30.0,2.0,9.0,13.0,0.0,1.0,1.0,0.0,1.0,42.0,0.0,31.0,14.0
68928,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
68930,0.0,2.0,0.0,0.0,0.0,30.0,10.0,8.0,27.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,7.0,0.0
69040,0.0,3.0,0.0,68.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,8.0
50284,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
68923,1.0,4.0,0.0,0.0,0.0,12.0,2.0,8.0,4.0,1.0,1.0,0.0,0.0,4.0,13.0,0.0,31.0,10.0
68920,5.0,4.0,0.0,0.0,0.0,30.0,26.0,28.0,113.0,2.0,8.0,0.0,0.0,9.0,89.0,0.0,14.0,0.0
68938,1.0,1.0,1.0,0.0,0.0,16.0,6.0,8.0,15.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,14.0,0.0
50293,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0
68925,0.0,5.0,0.0,0.0,0.0,14.0,2.0,4.0,15.0,1.0,1.0,0.0,0.0,0.0,16.0,0.0,12.0,1.0
50294,0.0,3.0,0.0,0.0,0.0,6.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0
68950,0.0,1.0,0.0,0.0,0.0,9.0,0.0,6.0,5.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,7.0,1.0
68942,0.0,9.0,0.0,0.0,0.0,32.0,3.0,3.0,8.0,0.0,0.0,1.0,0.0,1.0,50.0,0.0,29.0,10.0
69041,0.0,1.0,0.0,37.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,7.0
50301,2.0,3.0,0.0,0.0,0.0,32.0,3.0,3.0,22.0,0.0,1.0,0.0,0.0,7.0,31.0,0.0,18.0,0.0
68952,4.0,11.0,1.0,0.0,0.0,41.0,20.0,27.0,79.0,2.0,7.0,0.0,0.0,8.0,42.0,0.0,30.0,0.0
42500,3.0,6.0,0.0,0.0,0.0,27.0,6.0,5.0,42.0,0.0,1.0,0.0,0.0,0.0,86.0,0.0,49.0,12.0
68954,2.0,3.0,0.0,0.0,0.0,13.0,5.0,9.0,19.0,1.0,0.0,0.0,0.0,2.0,29.0,0.0,17.0,0.0
50313,0.0,5.0,0.0,0.0,0.0,23.0,3.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,18.0,0.0
69047,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0
42501,0.0,0.0,0.0,0.0,0.0,13.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,4.0,3.0
42499,0.0,1.0,1.0,0.0,0.0,7.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,7.0,4.0
69051,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
