A,CA,CV,DD,DP,FC,FD,FF,FS,FT,G,GC,GS,I,PE,PP,RB,SG,PNT,price,proGoals,consGoals,advPG,advCG,teamPos,advPos,home,realScore
1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,4.00,0.00,1.00,0.00,5.10,9.47,3.00,0.00,2.00,2.00,8,3,0,1.7
0.25,0.00,0.00,0.00,0.00,4.75,2.50,0.75,2.50,0.00,1.00,0.00,0.00,0.25,8.50,0.00,1.25,0.00,10.93,11.34,2.75,2.00,2.00,1.75,9,2,0,4.9
0.12,1.00,0.00,0.00,0.00,4.38,1.25,0.38,2.25,0.00,1.50,0.00,0.00,0.12,6.25,0.00,0.62,0.00,10.36,11.34,2.38,5.00,1.00,2.75,10,19,0,0.0
0.06,0.50,0.00,0.00,0.00,2.19,0.62,0.19,1.12,0.00,0.75,0.00,0.00,0.06,3.12,0.00,0.31,0.00,5.18,10.68,3.19,4.50,2.69,1.94,6,11,1,3.2
1.03,0.25,0.00,0.00,0.00,3.09,0.31,0.09,0.56,0.00,0.38,0.00,0.00,1.03,2.56,0.00,0.16,0.00,5.79,12.08,2.59,2.25,2.66,1.62,11,4,1,8.7
0.52,0.12,0.00,0.00,0.00,4.55,1.16,1.05,2.28,0.00,1.19,0.00,0.00,1.52,2.28,0.00,0.08,0.00,11.60,12.08,2.30,4.12,2.03,2.70,12,3,0,0.0
0.26,0.06,0.00,0.00,0.00,2.27,0.58,0.52,1.14,0.00,0.59,0.00,0.00,0.76,1.14,0.00,0.04,0.00,5.80,12.08,1.15,3.06,2.23,0.95,11,16,1,0.0
0.13,0.03,0.00,0.00,0.00,1.14,0.29,0.26,0.57,0.00,0.30,0.00,0.00,0.38,0.57,0.00,0.02,0.00,2.90,12.08,3.57,2.53,4.35,4.89,11,4,1,0.0
0.06,0.02,0.00,0.00,0.00,0.57,0.14,0.13,0.29,0.00,0.15,0.00,0.00,0.19,0.29,0.00,0.01,0.00,1.45,10.43,2.79,4.27,1.21,2.03,13,4,0,1.2
0.03,0.01,0.00,0.00,0.00,0.28,1.07,0.07,0.14,0.00,0.07,0.00,0.00,0.09,0.14,0.00,0.00,0.00,1.92,9.61,1.39,3.13,3.12,1.58,14,15,1,-2.5
0.02,1.00,0.00,0.00,0.00,1.14,0.54,0.03,0.07,0.00,0.04,0.00,0.00,0.05,0.07,0.00,0.00,0.00,-1.54,10.03,0.70,1.57,1.49,2.27,16,6,0,0.3
0.00,1.13,0.00,0.00,0.00,1.89,1.07,0.25,1.51,0.00,0.00,0.00,0.00,0.01,3.01,0.00,0.00,0.00,-1.82,9.31,2.34,2.45,1.55,1.46,10,16,0,0.0
0.00,0.56,0.00,0.00,0.00,0.95,0.53,0.13,0.75,0.00,0.00,0.00,0.00,0.00,1.50,0.00,0.00,0.00,-0.91,9.58,2.17,1.22,4.06,1.27,10,6,1,1.2
