A,CA,CV,DD,DP,FC,FD,FF,FS,FT,G,GC,GS,I,PE,PP,RB,SG,PNT,price,proGoals,consGoals,advPG,advCG,teamPos,advPos,home,realScore
0.00,0.00,0.00,0.00,0.00,1.42,2.84,2.84,2.84,0.00,1.42,0.00,0.00,1.42,0.00,0.00,4.26,0.00,23.43,14.81,1.00,2.00,2.00,1.00,13,5,0,16.5
0.00,0.00,0.00,0.00,0.00,2.59,3.76,5.18,12.28,2.84,1.17,0.00,0.00,2.59,0.00,0.00,3.51,0.00,35.35,19.83,10.00,5.00,5.00,10.00,11,15,1,11.3
0.00,0.00,0.00,0.00,0.00,4.97,7.35,5.68,11.53,3.76,0.96,0.00,0.00,2.13,9.94,0.00,5.72,0.00,40.14,20.06,5.00,0.00,0.00,5.00,4,2,1,7.8
0.00,0.00,0.00,0.00,0.00,5.51,7.47,4.67,12.31,3.09,0.79,0.00,0.00,1.75,12.45,0.00,4.71,0.00,34.14,18.86,10.00,10.00,10.00,10.00,6,10,0,0.8
0.00,0.00,0.00,0.00,0.00,5.96,7.58,3.86,10.15,2.54,0.66,0.00,0.00,1.45,11.65,0.00,3.90,0.00,28.81,17.67,10.00,5.00,5.00,10.00,3,15,0,0.4
0.00,0.00,0.00,0.00,0.00,4.37,8.00,3.53,7.33,2.11,0.00,0.00,0.00,0.66,11.00,0.00,4.42,0.00,23.23,18.43,5.00,0.00,0.00,5.00,1,13,1,5.9
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.0,5.00,5.00,5.00,5.00,5,10,1,0.0
0.00,0.00,0.00,0.00,0.00,1.17,3.51,2.34,5.85,0.00,0.00,0.00,0.00,0.00,3.51,0.00,0.00,0.00,7.37,8.96,10.00,10.00,10.00,10.00,4,14,1,0.0
0.00,0.00,0.00,0.00,0.00,3.80,2.88,4.76,11.90,0.00,0.00,0.00,0.00,0.00,4.30,0.00,0.00,0.00,10.02,8.37,0.00,0.00,0.00,0.00,5,9,0,2.8
0.00,0.00,0.00,0.00,0.00,3.13,2.37,3.92,9.80,0.00,0.00,0.00,0.00,0.00,3.54,0.00,0.00,0.00,8.25,8.37,10.00,0.00,0.00,10.00,4,16,1,0.0
0.00,1.42,0.00,0.00,0.00,5.42,3.40,4.66,8.10,0.00,0.00,0.00,0.00,0.00,2.94,0.00,0.00,0.00,5.43,7.3,10.00,5.00,5.00,10.00,4,16,1,-1.0
0.00,1.17,0.00,0.00,0.00,8.18,4.01,5.59,8.21,0.00,0.00,0.00,0.00,0.00,3.63,0.00,0.00,0.00,5.87,8.02,0.00,5.00,5.00,0.00,4,8,0,3.4
0.00,0.96,0.00,0.00,0.00,8.17,3.30,6.04,8.23,0.00,0.00,0.00,0.00,0.00,4.42,0.00,1.42,0.00,7.71,7.75,0.00,5.00,5.00,0.00,5,8,1,2.0
0.00,0.66,0.00,0.00,0.00,4.65,2.24,3.20,3.33,0.00,0.00,0.00,0.00,0.00,2.54,0.00,0.96,0.00,3.95,7.29,5.00,10.00,10.00,5.00,8,10,0,0.0
0.00,0.00,0.00,0.00,0.00,2.77,1.32,2.11,2.77,0.00,0.00,0.00,0.00,0.00,2.11,0.00,0.79,0.00,3.82,7.29,5.00,15.00,15.00,5.00,9,4,1,0.0
0.00,0.00,0.00,0.00,0.00,0.66,0.00,2.08,0.66,0.00,0.00,0.00,0.00,0.00,0.66,0.00,0.66,0.00,2.46,6.99,0.00,5.00,5.00,0.00,10,19,0,0.8
0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.94,6.99,5.00,10.00,10.00,5.00,10,13,1,0.0
0.00,0.00,0.00,0.00,0.00,4.01,6.60,4.80,12.95,0.00,1.17,0.00,0.00,0.00,7.52,0.00,1.17,0.00,25.09,8.56,5.00,5.00,5.00,5.00,11,2,0,6.1
0.00,0.00,0.00,0.00,0.00,3.30,5.43,3.96,10.65,0.00,0.96,0.00,0.00,0.00,6.18,0.00,0.96,0.00,20.62,8.56,5.00,15.00,15.00,5.00,11,1,0,0.0
0.00,0.00,0.00,0.00,0.00,2.71,4.46,2.71,8.75,0.00,0.79,0.00,0.00,0.00,5.08,0.00,0.79,0.00,16.52,8.56,5.00,20.00,20.00,5.00,11,5,1,0.0
0.00,0.00,0.00,0.00,0.00,2.24,3.69,2.24,7.25,0.00,0.66,0.00,0.00,0.00,4.22,0.00,0.66,0.00,13.73,8.56,10.00,10.00,10.00,10.00,12,17,0,0.0
1.17,1.17,0.00,0.00,0.00,2.84,2.59,2.59,11.53,0.00,0.00,0.00,0.00,2.84,2.84,0.00,2.34,0.00,14.27,7.94,0.00,10.00,10.00,0.00,12,4,0,1.4
0.96,2.38,0.00,0.00,0.00,6.60,3.55,7.81,10.90,0.00,0.00,0.00,0.00,2.34,6.60,0.00,3.34,0.00,14.56,8.1,0.00,10.00,10.00,0.00,13,19,1,2.0
0.66,1.62,0.00,0.00,0.00,8.72,10.93,8.13,13.10,0.00,0.00,0.00,0.00,3.00,7.30,0.00,5.12,0.00,25.86,9.74,10.00,0.00,0.00,10.00,11,10,1,11.2
0.00,0.79,0.00,0.00,0.00,10.04,9.89,10.42,12.37,0.00,0.00,0.00,0.00,2.49,10.29,0.00,4.55,0.00,22.28,8.89,0.00,0.00,0.00,0.00,12,16,0,4.7
0.00,2.59,0.00,0.00,0.00,13.00,7.34,7.20,11.61,1.17,0.00,0.00,0.00,2.08,12.63,0.00,4.45,0.00,14.05,0.0,5.00,5.00,5.00,5.00,14,11,0,-3.2
0.00,2.13,0.00,0.00,0.00,10.51,2.79,4.86,7.41,0.96,0.00,0.00,0.00,1.17,9.33,0.00,2.58,0.00,4.79,0.0,10.00,5.00,5.00,10.00,13,8,1,-0.5
0.00,0.00,0.00,0.00,0.00,0.79,1.42,3.38,5.34,0.00,0.00,0.00,0.00,0.00,3.51,0.00,3.38,0.00,10.75,7.57,0.00,5.00,5.00,0.00,17,20,1,3.9
0.00,0.00,0.00,0.00,0.00,1.42,0.96,1.75,5.38,0.00,0.00,0.00,0.00,0.00,3.79,0.00,3.17,0.00,8.42,7.2,10.00,10.00,10.00,10.00,16,17,1,1.9
0.00,1.96,0.00,0.00,0.00,8.18,0.00,2.75,11.56,0.00,0.00,0.00,0.00,0.00,4.80,0.00,2.21,0.00,2.01,6.3,0.00,10.00,10.00,0.00,15,2,0,1.6
0.00,0.79,0.00,0.00,0.00,2.54,3.80,0.00,7.89,1.42,1.96,0.00,0.00,0.00,2.38,0.00,2.34,0.00,28.81,7.66,5.00,15.00,15.00,5.00,11,16,1,6.2
0.00,0.66,0.00,0.00,0.00,4.95,3.13,0.00,6.50,1.17,1.62,0.00,0.00,0.00,4.80,0.00,4.76,0.00,26.29,7.08,10.00,0.00,0.00,10.00,9,8,0,1.8
0.00,0.00,0.00,0.00,0.00,3.00,4.00,2.84,7.66,0.96,0.79,0.00,0.00,0.00,3.96,0.00,3.92,0.00,23.47,7.38,5.00,0.00,0.00,5.00,8,17,1,3.4
1.17,0.00,0.00,0.00,0.00,3.92,2.28,6.85,10.51,0.66,0.00,0.00,0.00,0.00,4.83,0.00,2.75,0.00,21.76,7.1,10.00,15.00,15.00,10.00,10,12,1,0.9
0.00,2.38,0.00,0.00,0.00,6.70,3.04,3.66,6.41,0.00,0.66,0.00,0.00,0.00,4.49,0.00,3.17,0.00,10.02,7.12,10.00,10.00,10.00,10.00,10,9,0,0.6
0.00,1.96,0.00,0.00,0.00,7.29,3.38,2.49,5.62,0.00,0.00,0.00,0.00,0.00,2.62,0.00,6.88,0.00,11.28,8.01,5.00,5.00,5.00,5.00,11,8,0,5.6
1.17,2.08,0.00,0.00,0.00,5.78,8.55,5.38,14.23,0.00,5.93,0.00,0.00,1.17,15.15,0.00,10.13,0.00,77.76,11.31,20.00,15.00,15.00,20.00,9,4,1,19.8
0.00,1.17,0.00,0.00,0.00,3.51,0.00,1.17,9.36,0.00,0.00,0.00,0.00,1.17,5.85,0.00,1.17,0.00,0.94,10.89,10.00,0.00,0.00,10.00,3,8,1,0.0
0.00,2.38,0.00,0.00,0.00,5.72,0.00,3.80,10.52,0.00,1.42,0.00,0.00,3.80,9.06,0.00,0.96,0.00,8.86,9.73,15.00,0.00,0.00,15.00,1,19,0,5.7
