A,CA,CV,DD,DP,FC,FD,FF,FS,FT,G,GC,GS,I,PE,PP,RB,SG,PNT,price,proGoals,consGoals,advPG,advCG,teamPos,advPos,home,realScore
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.25,3.44,4.24,2.56,2.80,17,13,0,8.1
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.00,1.60,0.80,6.48,7.87,3.20,2.71,0.80,4.75,16,18,0,0.1
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,3.64,0.00,1.28,0.64,5.28,8.14,2.56,4.17,1.97,6.74,17,20,1,2.3
0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.60,0.00,0.00,0.00,0.00,0.00,4.91,0.00,3.02,0.51,6.53,7.46,2.05,4.34,4.35,3.17,15,14,0,-0.8
0.00,0.00,0.00,0.00,0.00,1.80,0.00,0.00,1.28,0.00,0.00,0.00,0.00,0.00,4.93,0.00,2.42,0.41,4.42,9.11,3.64,4.47,4.24,6.77,16,17,1,7.6
0.00,0.00,0.00,0.00,0.00,0.36,1.60,0.00,1.20,0.00,0.01,0.00,0.00,0.00,1.10,0.00,2.33,0.97,10.63,7.86,5.91,4.90,3.71,5.38,10,12,1,-0.8
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.04,0.00,0.00,0.00,0.00,11,12,1,5.5
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,5.50,13.13,0.00,0.00,0.00,1.00,15,11,0,-3.5
0.00,0.80,0.00,0.00,0.00,4.80,0.00,0.00,3.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.64,0.72,13.03,0.80,2.60,5.08,3.44,15,5,1,4.0
0.00,1.85,0.00,0.00,0.00,4.06,0.80,0.00,3.48,0.00,0.00,0.00,0.00,0.00,4.48,0.00,1.92,0.33,0.37,11.93,6.29,4.77,1.84,4.90,9,13,1,4.8
0.00,1.48,0.00,0.00,0.00,5.25,0.64,1.00,4.78,0.00,0.00,0.00,0.00,0.00,6.58,0.00,1.54,1.26,5.09,11.12,5.03,3.82,7.55,3.06,6,2,1,1.9
0.00,2.18,0.00,0.00,0.00,6.20,0.51,0.80,4.82,0.00,0.00,0.00,0.00,0.00,7.27,0.00,1.23,2.01,5.98,10.8,6.03,3.05,7.06,6.53,8,3,0,0.3
0.00,1.40,0.00,0.00,0.00,5.57,0.33,0.51,3.89,0.00,0.00,0.00,0.00,0.00,7.05,0.00,1.59,1.29,4.06,11.33,5.66,4.55,2.15,6.66,11,16,1,3.4
0.00,1.12,0.00,0.00,0.00,7.45,0.26,0.41,3.11,1.00,0.00,0.00,0.00,0.00,6.64,0.00,2.27,1.03,6.65,10.04,5.52,4.64,2.87,2.87,11,5,0,-2.6
0.00,1.89,0.00,0.00,0.00,8.96,0.21,1.33,3.49,0.80,0.00,0.00,0.00,0.00,6.31,0.00,1.82,0.82,2.72,12.09,5.42,5.71,7.10,6.40,9,10,1,8.2
0.00,1.52,0.00,0.00,0.00,7.17,0.17,1.06,3.79,0.64,1.00,0.00,0.00,0.00,6.05,0.00,1.45,0.66,10.38,11.55,7.34,5.57,2.64,6.67,6,15,1,4.0
0.00,1.21,0.00,0.00,0.00,8.74,0.13,2.85,5.03,0.51,0.80,0.00,0.00,0.00,5.84,0.00,3.16,0.53,12.30,9.28,7.87,5.46,4.94,5.94,6,18,0,-7.6
0.00,1.58,0.00,0.00,0.00,7.99,0.09,2.62,5.62,0.33,0.51,0.80,0.00,0.00,4.54,0.00,2.02,0.34,1.79,11.37,7.64,7.09,5.73,2.46,6,3,1,5.9
0.00,1.01,0.00,0.00,0.00,7.11,0.05,3.68,9.00,0.21,0.33,0.51,0.00,0.00,5.50,0.00,8.30,2.02,24.37,14.88,5.69,4.54,4.19,2.71,7,12,1,20.5
0.00,1.65,0.00,0.00,0.00,8.35,0.84,5.15,9.36,0.13,1.01,0.33,0.00,0.00,8.52,0.00,9.51,2.09,32.30,12.57,4.44,3.91,5.01,2.53,8,5,1,5.3
0.00,1.05,0.00,0.00,0.00,6.15,1.33,4.10,5.99,0.09,0.65,0.21,0.00,0.00,7.85,0.00,6.09,2.14,24.91,11.71,5.84,4.50,9.21,5.09,6,1,0,0.9
0.00,0.67,0.00,0.00,0.00,6.73,0.85,2.62,3.83,0.05,0.41,0.13,0.00,0.00,6.83,0.00,4.69,1.37,15.36,13.62,9.14,6.48,5.56,7.29,4,18,1,11.7
0.00,0.14,0.00,0.00,0.00,1.94,0.18,0.81,1.07,0.01,0.09,0.03,0.00,0.00,1.69,0.00,2.03,0.55,6.29,13.14,7.72,5.14,5.41,5.01,5,9,0,8.9
0.00,0.07,0.00,0.00,0.00,0.99,1.37,1.06,0.55,0.01,0.04,0.01,0.00,0.00,2.15,0.00,3.60,0.28,8.92,13.07,6.55,4.27,10.20,6.56,4,10,1,8.1
0.00,0.05,0.00,0.00,0.00,1.43,0.88,0.68,1.15,0.00,0.03,0.01,0.00,0.00,2.17,0.00,3.90,0.98,12.19,11.68,8.39,4.73,7.05,5.92,6,14,1,-0.4
